timestamp,date,transaction_type,amount,account_id,account_name,status
2025-01-01 20:53:00,2025-01-01,Adjustment,35251.11,1003,COGS,Pending
2025-01-01 09:45:00,2025-01-01,Transfer,49728.73,1006,COGS,Completed
2025-01-01 16:52:00,2025-01-01,Adjustment,28773.94,1006,Sales Revenue,Failed
2025-01-01 05:26:00,2025-01-01,Adjustment,3221.72,1006,Rent Expense,Completed
2025-01-01 04:12:00,2025-01-01,Credit,45123.29,1001,Salaries Expense,Completed
2025-01-01 07:04:00,2025-01-01,Credit,33745.91,1007,Salaries Expense,Pending
2025-01-01 14:01:00,2025-01-01,Debit,22591.98,1005,Rent Expense,Pending
2025-01-01 20:55:00,2025-01-01,Adjustment,783.33,1001,Equipment,Completed
2025-01-01 19:15:00,2025-01-01,Debit,28933.51,1001,Salary Payable,Completed
2025-01-02 15:54:00,2025-01-02,Adjustment,44177.02,1005,Accounts Payable,Pending
2025-01-02 17:10:00,2025-01-02,Credit,3815.0,1004,Cash,Completed
2025-01-02 06:22:00,2025-01-02,Credit,46240.22,1001,Cash,Completed
2025-01-02 23:16:00,2025-01-02,Transfer,43293.75,1007,COGS,Pending
2025-01-02 12:20:00,2025-01-02,Credit,6989.51,1006,Salary Payable,Pending
2025-01-02 15:14:00,2025-01-02,Credit,24297.8,1010,COGS,Completed
2025-01-02 21:18:00,2025-01-02,Adjustment,32730.37,1008,Capital,Completed
2025-01-02 08:12:00,2025-01-02,Debit,41845.28,1003,Sales Revenue,Completed
2025-01-02 21:34:00,2025-01-02,Credit,16062.04,1001,Rent Expense,Completed
2025-01-02 00:28:00,2025-01-02,Credit,7718.1,1002,Salaries Expense,Completed
2025-01-02 16:53:00,2025-01-02,Debit,651.93,1005,Accounts Payable,Failed
2025-01-02 10:47:00,2025-01-02,Credit,32811.14,1006,Salary Payable,Completed
2025-01-02 23:47:00,2025-01-02,Transfer,38718.65,1005,Salary Payable,Completed
2025-01-02 21:58:00,2025-01-02,Transfer,10463.96,1003,Salaries Expense,Failed
2025-01-02 16:36:00,2025-01-02,Debit,38010.44,1004,Accounts Payable,Pending
2025-01-02 13:18:00,2025-01-02,Credit,1143.12,1002,Accounts Payable,Failed
2025-01-02 13:52:00,2025-01-02,Adjustment,26328.74,1009,Accounts Payable,Pending
2025-01-03 09:47:00,2025-01-03,Adjustment,12881.06,1010,Sales Revenue,Completed
2025-01-03 23:47:00,2025-01-03,Debit,34364.23,1006,Cash,Pending
2025-01-03 16:45:00,2025-01-03,Adjustment,3912.01,1003,Salaries Expense,Completed
2025-01-03 18:54:00,2025-01-03,Debit,23309.91,1009,Accounts Payable,Completed
2025-01-03 21:29:00,2025-01-03,Credit,13212.46,1008,Equipment,Completed
2025-01-03 17:56:00,2025-01-03,Credit,49792.18,1006,Rent Expense,Completed
2025-01-03 11:27:00,2025-01-03,Adjustment,7101.76,1004,Accounts Payable,Completed
2025-01-03 14:01:00,2025-01-03,Credit,2424.1,1010,Sales Revenue,Pending
